question_id ;question_english;correct_answer_english;incorrect_answer_1_english;incorrect_answer_2_english;incorrect_answer_3_english;question_french;correct_answer_french;incorrect_answer_1_french;incorrect_answer_2_french;incorrect_answer_3_french
B-004-003-011;If a transistor is alternatively driven into saturation and cut-off, what does it behave like?;A switch;An inverter;An amplifier;A timer;Si un transistor est alternativement polarisé en saturation et en blocage, à quoi ressemble son comportement?;Un interrupteur;Un onduleur;Un amplificateur;Une minuterie
B-004-004-001;When considering the material between source and drain, what are two basic types of field-effect transistors (FET)?;N channel and P channel;NPN and PNP;Silicon and germanium;Gallium and arsenide;Lorsque l'on considère le matériau entre la source et le drain, quels sont deux types fondamentaux de transistors à effet de champ (FET)?;Canal N et canal P;NPN et PNP;Silicium et germanium;Gallium et arséniure
B-004-004-002;Which semiconductor device has a gate, a drain and a source?;Field-effect transistor;Point-contact transistor;Bipolar transistor;Unijunction transistor;Quel composant à semi-conducteur a une porte, un drain et une source?;Le transistor à effet de champ;Le transistor à point de contact;Le transistor bipolaire;Le transistor unijonction
B-004-004-003;In a field-effect transistor, which electrode controls the resistance of the device's channel?;Gate;Drain;Source;Collector;Dans un transistor à effet de champ, quelle électrode commande la résistance du canal dans le composant?;La porte;Le drain;La source;Le collecteur
B-004-004-004;In a field-effect transistor, from which electrode do charge carriers enter the channel?;Source;Gate;Drain;Emitter;Dans un transistor à effet de champ, par quelle électrode les porteurs de charge entrent-ils dans le canal?;La source;La porte;Le drain;L'émetteur
B-004-004-005;In a field-effect transistor, from which electrode do charge carriers leave the channel?;Drain;Collector;Source;Gate;Dans un transistor à effet de champ, par quelle électrode les porteurs de charge sortent-ils du canal?;Le drain;Le collecteur;La source;La porte
B-004-004-006;Why is a field-effect transistor considered a high impedance device?;The gate never conducts current;It uses high resistance semiconductors;It functions at low voltage;It functions at high current;Pourquoi un transistor à effet de champ est-il considéré comme un composant à haute impédance?;La porte ne conduit jamais de courant;Il utilise des semi-conducteurs à haute résistance;Il fonctionne en basse tension;Il fonctionne à courant élevé
B-004-004-007;What is the control electrode in a field-effect transistor?;Gate;Source;Drain;Base;Quelle électrode assure la commande dans un transistor à effet de champ?;La porte;La source;Le drain;La base
B-004-004-008;In a field-effect transistor, what circuit parameter change causes the current to increase?;The reverse bias is decreased;The reverse bias is increased;A forward bias is applied;A forward bias is removed;Dans un transistor à effet de champ, quel changement aux paramètres du circuit entraîne une augmentation du courant?;La polarisation inverse est diminuée;La polarisation inverse est augmentée;Une polarisation directe est appliquée;Une polarisation directe est supprimée
B-004-004-009;Which electrode of a bipolar transistor corresponds to the source of a field-effect transistor?;Emitter;Base;Drain;Collector;Quelle électrode du transistor bipolaire équivaut à la source du transistor à effet de champ?;L'émetteur;La base;Le drain;Le collecteur
B-004-004-010;Which electrode of a bipolar transistor corresponds to the drain of a field-effect transistor?;Collector;Base;Source;Emitter;Quelle électrode du transistor bipolaire équivaut au drain du transistor à effet de champ?;Le collecteur;La base;La source;L'émetteur
B-004-004-011;In a field-effect transistor, which two electrodes are connected to the ends of the channel?;Source and drain;Source and gate;Gate and drain;Source and base;Dans un transistor à effet de champ, quelles deux électrodes sont raccordées aux extrémités du canal?;La source et le drain;La source et la porte;La porte et le drain;La source et la base
B-004-005-001;What is one reason a triode vacuum tube might be used instead of a transistor in a circuit?;It may be able to handle higher power;It uses less current;It is much smaller;It uses lower voltages;Pourquoi peut-il être avantageux d'utiliser une triode à vide au lieu d'un transistor dans un circuit?;Elle pourrait être capable de supporter une plus grande puissance;Elle utilise moins de courant;Elle est beaucoup plus petite;Elle utilise un bas voltage
B-004-005-002;Which two elements of a triode carry the output current?;Cathode and plate;Cathode and grid;Emitter and collector;Source and drain;Dans une triode à vide, quelles deux électrodes conduisent le courant de sortie?;La cathode et la plaque;La cathode et la grille;L'émetteur et le collecteur;La source et le drain
B-004-005-003;A feature common to triode tubes and transistors is that both:;can amplify signals;have electrons drifting through a vacuum;dissipate heat when not conducting;use heat to cause electron movement;Les triodes à vide et les transistors ont en commun la caractéristique suivante:;ils peuvent amplifier des signaux;ils utilisent le mouvement des électrons dans le vide;ils dissipent de la chaleur lorsqu'ils ne conduisent pas;ils utilisent la chaleur pour créer le mouvement des électrons
B-004-005-004;Which electrode on a vacuum tube is operated with the highest positive voltage?;Plate;Collector;Cathode;Grid;Quelle électrode du tube à vide fonctionne avec la plus haute tension positive?;La plaque;Le collecteur;La cathode;La grille
B-004-005-005;Which semiconductor device has characteristics most similar to a triode vacuum tube?;Field-effect transistor;Triac;Thyristor;Bipolar transistor;Quel composant à semi-conducteur ressemble le plus à la triode à vide?;Le transistor à effet de champ;Le triac;Le thyristor;Le transistor bipolaire
B-004-005-006;Which electrode of a vacuum triode is the control element?;Grid;Emitter;Cathode;Plate;Dans une triode à vide, quelle électrode contrôle le courant?;La grille;L'émetteur;La cathode;La plaque
B-004-005-007;In a vacuum tube, which electrode emits electrons?;Cathode;Grid;Collector;Plate;Dans un tube à vide, quelle électrode émet les électrons?;La cathode;La grille;Le collecteur;La plaque
B-004-005-008;What is inside the envelope of a triode tube?;A vacuum;Argon;Air;Neon;Que trouve-t-on à l'intérieur d'une triode?;Vide;Argon;Air;Néon
B-004-005-009;What term describes a vacuum tube with a cathode, a single grid and a plate?;Triode;Diode;Tetrode;Pentode;Quel terme décrit un tube à vide avec une cathode, une seule grille et une plaque?;Triode;Diode;Tétrode;Pentode
B-004-006-001;On resistors with four colour bands, which colour band specifies the tolerance?;Fourth;Third;Second;First;Sur une résistance marquée de quatre bandes de couleur, quelle bande spécifie la tolérance?;La quatrième;La troisième;La deuxième;La première
B-004-006-002;On a resistor with four colour bands, what do the first three colour bands indicate?;The value of the resistor in ohms;The resistance material;The power rating in watts;The resistance tolerance in percent;Sur une résistance marquée de quatre bandes de couleur, qu'indiquent les trois premières bandes?;La valeur de la résistance exprimée en ohms;Le matériau dont est faite la résistance (sa composition);La puissance nominale en watts;Le pourcentage de tolérance de la résistance
B-004-006-003;On a resistor with four colour bands, what does the fourth colour band indicate?;The resistance tolerance in percent;The value of the resistor in ohms;The power rating in watts;The resistance material;Sur une résistance marquée de quatre bandes de couleur, qu'indique la quatrième bande?;Le pourcentage de tolérance de la résistance;La valeur de la résistance exprimée en ohms;La puissance nominale en watts;Le matériau dont est faite la résistance (sa composition)
